Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
11.04,16.99,0.53,2.359,0.102,171.4, 21.3,  5.8, 0.8,4623,80,2.13,0.015,-0.4,0.15,1.28,0.26,16.13,1.51,1.11,0.22,15.01,1.36,1.24,0.25,15.89,1.47,0
13.93,16.52,0.28,2.219,0.017,208.5, 14.0,  6.4, 1.3,4687,164,2.121,0.012,-0.62,0.3,1.53,0.13,17.85,0.58,1.33,0.12,16.64,0.53,1.47,0.13,17.48,0.56,0
11.83,13.45,0.43,1.902,0.082,185.2, 21.9,  5.1, 0.8,4560,137,2.025,0.016,-0.44,0.3,1.47,0.3,19.51,1.84,1.29,0.26,18.25,1.67,1.42,0.29,19.2,1.8,0
13.24,18.28,1.54,2.41,0.148,165.2, 31.9,  5.8, 2.4,4464,156,2.154,0.038,0.02,0.3,1.39,0.5,16.34,2.46,1.22,0.43,15.32,2.26,1.37,0.49,16.24,2.44,0
12.53,22.54,0.69,2.553,0.018, 83.3,  4.2, 11.7, 3.0,4610,80,2.252,0.015,0.19,0.15,2.17,0.23,18.25,0.69,2.0,0.21,17.52,0.66,2.19,0.23,18.34,0.69,0
11.26,14.86,1.06,2.16,0.326,148.2, 63.8,  3.7, 1.3,4631,162,2.072,0.032,-0.34,0.3,1.22,0.79,16.84,5.24,1.06,0.66,15.68,4.71,1.19,0.76,16.63,5.14,0
13.73,13.75,1.16,1.822,0.195,178.3, 33.2,  5.2, 1.4,4637,162,2.039,0.038,-0.42,0.3,1.92,0.96,21.92,5.07,1.72,0.84,20.74,4.68,1.87,0.93,21.65,4.98,0
13.39,7.04,0.24,1.252,0.038,388.6, 36.0,  3.0, 0.7,4201,147,1.727,0.017,-0.16,0.3,1.0,0.17,22.64,1.65,0.84,0.14,20.73,1.47,0.96,0.16,22.24,1.61,0
11.64,13.65,0.79,1.863,0.134,198.5, 33.1,  5.3, 1.5,4419,132,2.025,0.026,-0.46,0.3,1.6,0.54,20.32,3.18,1.42,0.48,19.2,2.93,1.55,0.53,20.04,3.11,0
10.73,20.39,0.66,2.581,0.015,192.5, 13.3,  8.9, 1.6,4454,155,2.201,0.017,-0.02,0.3,1.46,0.17,15.87,0.65,1.29,0.15,14.9,0.61,1.44,0.17,15.76,0.65,0
10.69,12.25,0.69,1.726,0.039,157.4, 13.4,  5.3, 1.3,4418,154,1.978,0.026,-0.02,0.3,1.56,0.32,21.24,1.61,1.38,0.28,19.97,1.5,1.54,0.31,21.08,1.6,0
13.95,17.26,0.61,2.337,0.016,227.3, 15.0,  7.3, 1.0,4420,154,2.127,0.018,0.02,0.3,1.3,0.17,16.33,0.72,1.14,0.14,15.25,0.67,1.28,0.16,16.19,0.71,0
13.9,5.7,0.21,0.997,0.026,490.8, 49.1,  2.2, 0.6,3950,80,1.622,0.018,0.0,0.3,1.2,0.19,28.01,1.87,1.04,0.17,26.13,1.7,1.17,0.19,27.64,1.84,0
13.63,6.67,0.11,0.95,0.117,344.0, 33.5,  2.3, 0.5,4839,152,1.734,0.011,-0.36,0.3,3.16,1.58,39.98,9.91,3.11,1.55,39.68,9.79,3.26,1.64,40.62,10.14,0
13.54,19.31,0.8,2.494,0.107,154.0, 26.3,  7.3, 1.9,4655,162,2.187,0.02,-0.26,0.3,1.52,0.34,16.46,1.61,1.34,0.29,15.48,1.48,1.5,0.33,16.34,1.59,0
10.95,14.62,0.61,1.977,0.028,118.3,  8.7,  5.9, 1.1,4587,80,2.063,0.019,-0.08,0.15,1.64,0.24,19.69,1.05,1.46,0.21,18.61,0.98,1.63,0.24,19.64,1.05,0
13.03,60.52,0.55,5.529,0.023, 51.3,  3.9, 20.8, 3.3,4940,80,2.696,0.007,0.19,0.15,2.12,0.11,10.81,0.22,2.08,0.11,10.7,0.22,2.17,0.12,10.94,0.22,0
12.99,7.31,0.48,1.178,0.028,337.1, 27.7,  3.5, 0.8,4228,148,1.744,0.03,0.02,0.3,1.44,0.33,26.63,2.25,1.26,0.29,24.94,2.09,1.4,0.32,26.32,2.22,0
8.03,8.82,0.51,1.385,0.024,238.0, 20.5,  3.9, 0.7,4458,128,1.837,0.026,-0.07,0.3,1.43,0.28,23.85,1.68,1.25,0.24,22.35,1.56,1.4,0.27,23.65,1.66,0
12.93,9.52,0.61,1.898,0.078,187.7, 13.9,  4.8, 1.0,4967,80,1.894,0.029,-1.6,0.15,0.6,0.15,14.47,1.53,0.55,0.14,13.88,1.45,0.64,0.17,14.99,1.6,0
13.93,21.86,0.64,2.683,0.015,133.7,  6.9,  9.5, 1.2,4773,167,2.246,0.015,-0.84,0.3,1.71,0.19,16.3,0.63,1.49,0.16,15.21,0.58,1.64,0.18,15.98,0.61,0
13.87,14.06,0.38,2.089,0.028,268.1, 19.0,  5.8, 1.1,4812,148,2.056,0.014,-0.5,0.3,1.25,0.14,17.37,0.75,1.1,0.12,16.3,0.7,1.24,0.14,17.26,0.75,0
13.68,11.75,0.24,1.695,0.026,309.1, 20.9,  5.7, 1.0,4735,148,1.975,0.012,-0.73,0.3,1.65,0.17,21.87,0.93,1.43,0.15,20.41,0.85,1.58,0.17,21.44,0.91,0
13.66,12.9,1.59,1.816,0.132,271.9, 47.0,  6.2, 2.1,4365,152,1.998,0.054,0.07,0.3,1.47,0.69,20.09,3.85,1.29,0.6,18.83,3.55,1.44,0.68,19.94,3.81,0
12.31,6.52,0.2,1.113,0.168,374.5, 31.4,  2.7, 1.2,4465,134,1.707,0.015,-0.57,0.3,1.39,0.85,27.35,8.32,1.21,0.72,25.57,7.52,1.33,0.81,26.79,8.06,0
12.45,8.63,0.64,1.439,0.058,271.6, 23.9,  4.1, 0.9,4352,152,1.823,0.033,-0.04,0.3,1.11,0.31,21.36,2.38,0.94,0.26,19.75,2.16,1.08,0.3,21.1,2.35,0
9.83,17.14,0.86,1.984,0.082,108.2, 16.7,  6.5, 1.7,4832,141,2.143,0.023,-0.31,0.3,2.81,0.65,23.52,2.32,2.71,0.62,23.09,2.27,2.84,0.66,23.67,2.34,0
12.36,25.91,0.88,2.691,0.046, 40.5,  3.4, 13.4,10.7,4960,80,2.328,0.016,-0.1,0.15,2.98,0.39,19.58,1.0,3.01,0.39,19.69,1.0,3.08,0.4,19.92,1.02,0
13.39,5.02,0.15,0.958,0.031,596.8, 64.6,  2.2, 0.3,4272,149,1.584,0.015,-0.54,0.3,1.08,0.18,27.79,2.07,0.92,0.15,25.7,1.86,1.04,0.17,27.24,2.01,0
13.1,10.18,0.56,1.526,0.019,338.6, 23.6,  5.4, 0.6,4407,131,1.897,0.025,-0.24,0.3,1.46,0.26,22.56,1.43,1.29,0.23,21.16,1.33,1.43,0.26,22.27,1.41,0
13.76,21.35,0.28,2.797,0.038,201.1, 11.8,  6.9, 0.7,4385,80,2.218,0.008,-0.52,0.15,1.19,0.1,14.04,0.48,1.02,0.08,13.02,0.44,1.14,0.09,13.74,0.47,0
12.99,15.91,1.79,2.608,0.038,191.1, 11.4,  8.2, 3.3,4567,80,2.099,0.049,0.03,0.15,0.69,0.24,12.28,1.44,0.62,0.21,11.64,1.36,0.7,0.24,12.38,1.45,0
13.2,17.34,0.69,2.447,0.087,202.7, 28.7,  6.7, 1.2,4348,80,2.126,0.018,-0.03,0.15,1.07,0.21,14.84,1.24,0.91,0.17,13.7,1.11,1.05,0.2,14.67,1.22,0
11.74,24.76,0.96,2.618,0.021, 78.1,  4.3, 11.1, 1.5,4735,141,2.299,0.019,-0.24,0.3,2.71,0.36,19.32,0.9,2.57,0.34,18.84,0.88,2.72,0.36,19.36,0.9,0
11.95,17.8,1.34,2.201,0.1,192.4, 19.6,  8.2, 1.4,4442,80,2.141,0.033,-0.18,0.15,1.83,0.54,19.03,2.27,1.64,0.48,18.03,2.12,1.8,0.53,18.87,2.25,0
12.02,9.1,0.16,1.389,0.017,349.1, 23.6,  3.8, 0.8,4388,131,1.847,0.011,-0.61,0.3,1.51,0.14,24.27,0.89,1.35,0.12,22.94,0.83,1.46,0.14,23.88,0.87,0
10.88,16.08,0.95,2.125,0.152,160.5, 24.9,  6.5, 1.5,4415,80,2.096,0.026,0.21,0.15,1.54,0.52,18.38,2.86,1.36,0.45,17.31,2.63,1.53,0.52,18.33,2.85,0
10.3,5.93,0.28,1.113,0.062,317.2, 31.6,  2.7, 0.5,4219,147,1.653,0.022,-0.02,0.3,0.96,0.26,24.15,2.97,0.8,0.21,22.09,2.62,0.93,0.25,23.8,2.91,0
